sample,copy,area_season,season,enviro,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile
AT10,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2051.01,sagerush steppe,41.329281,-108.092353,6/22/2020 12:09,Adult,y,stallion,n,u,2,n
AT12,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2120.58,sagerush steppe,41.266425,-107.961884,6/22/2020 13:20,Adult,n,u,n,u,3,n
AT13,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2120.22,sagerush steppe,41.26589,-107.961994,6/22/2020 13:24,Adult,n,u,n,u,2,n
AT14,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2102.8,sagerush steppe,41.258964,-107.973519,6/22/2020 13:52,Adult,n,u,n,u,2,y
AT15,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2101.34,sagerush steppe,41.258762,-107.973181,6/22/2020 13:57,Adult,n,u,n,u,2,u
AT20,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2081.57,sagerush steppe,41.294667,-107.972352,6/22/2020 8:36,Adult,n,u,n,u,3,n
AT23,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2048.43,sagerush steppe,41.01478,-108.298664,6/23/2020 11:03,Adult,n,u,n,u,4,y
AT2,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2126.14,sagerush steppe,41.025435,-108.416017,6/23/2020 13:10,Adult,n,u,n,u,4,n
AT3,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2074.57,sagerush steppe,41.299886,-107.981338,6/22/2020 8:54,Adult,n,u,n,u,3,y
AT4,1,AT,summer,wy_basin,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2070.49,sagerush steppe,41.297748,-107.983154,6/22/2020 9:02,Adult,n,u,n,u,3,y
