sample_name,sample,copy,area_season,season,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile,Other_notes
AT10_1,AT10,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2051.01,sagerush steppe,41.329281,-108.092353,6/22/2020 12:09,Adult,y,stallion,n,u,2,n,
AT10_2,AT10,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2051.01,sagerush steppe,41.329281,-108.092353,6/22/2020 12:09,Adult,y,stallion,n,u,2,n,
AT12_1,AT12,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2120.58,sagerush steppe,41.266425,-107.961884,6/22/2020 13:20,Adult,n,u,n,u,3,n,
AT12_2,AT12,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2120.58,sagerush steppe,41.266425,-107.961884,6/22/2020 13:20,Adult,n,u,n,u,3,n,
AT13_1,AT13,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2120.22,sagerush steppe,41.26589,-107.961994,6/22/2020 13:24,Adult,n,u,n,u,2,n,
AT13_2,AT13,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2120.22,sagerush steppe,41.26589,-107.961994,6/22/2020 13:24,Adult,n,u,n,u,2,n,
AT14_1,AT14,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2102.8,sagerush steppe,41.258964,-107.973519,6/22/2020 13:52,Adult,n,u,n,u,2,y,
AT14_2,AT14,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2102.8,sagerush steppe,41.258964,-107.973519,6/22/2020 13:52,Adult,n,u,n,u,2,y,
AT15_1,AT15,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2101.34,sagerush steppe,41.258762,-107.973181,6/22/2020 13:57,Adult,n,u,n,u,2,u,
AT15_2,AT15,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2101.34,sagerush steppe,41.258762,-107.973181,6/22/2020 13:57,Adult,n,u,n,u,2,u,
AT20_1,AT20,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2081.57,sagerush steppe,41.294667,-107.972352,6/22/2020 8:36,Adult,n,u,n,u,3,n,
AT20_2,AT20,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2081.57,sagerush steppe,41.294667,-107.972352,6/22/2020 8:36,Adult,n,u,n,u,3,n,
AT23_1,AT23,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2048.43,sagerush steppe,41.01478,-108.298664,6/23/2020 11:03,Adult,n,u,n,u,4,y,
AT23_2,AT23,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2048.43,sagerush steppe,41.01478,-108.298664,6/23/2020 11:03,Adult,n,u,n,u,4,y,
AT2_1,AT2,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2126.14,sagerush steppe,41.025435,-108.416017,6/23/2020 13:10,Adult,n,u,n,u,4,n,
AT2_2,AT2,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2126.14,sagerush steppe,41.025435,-108.416017,6/23/2020 13:10,Adult,n,u,n,u,4,n,
AT3_1,AT3,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2074.57,sagerush steppe,41.299886,-107.981338,6/22/2020 8:54,Adult,n,u,n,u,3,y,
AT3_2,AT3,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2074.57,sagerush steppe,41.299886,-107.981338,6/22/2020 8:54,Adult,n,u,n,u,3,y,
AT4_1,AT4,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2070.49,sagerush steppe,41.297748,-107.983154,6/22/2020 9:02,Adult,n,u,n,u,3,y,
AT4_2,AT4,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2070.49,sagerush steppe,41.297748,-107.983154,6/22/2020 9:02,Adult,n,u,n,u,3,y,
AT5_1,AT5,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2068.53,sagerush steppe,41.296947,-107.982785,6/22/2020 9:08,Adult,n,u,n,u,3,y,
AT5_2,AT5,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2068.53,sagerush steppe,41.296947,-107.982785,6/22/2020 9:08,Adult,n,u,n,u,3,y,
AT6_1,AT6,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2069.22,sagerush steppe,41.296893,-107.981713,6/22/2020 9:14,Adult,n,u,n,u,3,n,
AT6_2,AT6,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2069.22,sagerush steppe,41.296893,-107.981713,6/22/2020 9:14,Adult,n,u,n,u,3,n,
AT7_1,AT7,1,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2069.3,sagerush steppe,41.331718,-108.029092,6/22/2020 9:48,Adult,y,stallion,y,5,1,n,
