"","sample","copy","area_season","season","study.area","domestication","DESCRIPTION","state","grass_cover_percent","grass_cover","elevation","biome","latitude","longitude","collection_time","life_stage","sex_known","sex","BCS_known","horse_BCS","fecal_freshness","stud_pile","ID","annforbandgrassbio","perforbandgrassbio","annforbandgrasscov","bareground","litter","perforbandgrasscov","shrub","tree"
"1","AT10",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2051.01,"sagerush steppe",41.329281,-108.092353,"6/22/2020 12:09","Adult","y","stallion","n","u",2,"n",1,6.45489271025254,138.575270318054,1.65844546182048,49.126533043009,9.63957437701226,14.4185649414699,15.9708791617814,0.0034057283233767
"2","AT12",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2120.58,"sagerush steppe",41.266425,-107.961884,"6/22/2020 13:20","Adult","n","u","n","u",3,"n",2,14.9916936715462,200.539250195553,2.69950553134428,39.1437451111856,11.7929331023951,18.6032890080828,18.4454408313778,0.0392222594703319
"3","AT13",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2120.22,"sagerush steppe",41.26589,-107.961994,"6/22/2020 13:24","Adult","n","u","n","u",2,"n",3,14.9551215148352,200.362615550917,2.69466602057552,39.1599308558223,11.7868038989116,18.5751313925749,18.4531972193231,0.0394783435216937
"4","AT14",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2102.8,"sagerush steppe",41.258964,-107.973519,"6/22/2020 13:52","Adult","n","u","n","u",2,"y",4,13.7364637589333,190.130368141032,2.53027775966009,40.7389236230817,11.3810972484929,17.5678279585923,18.2001761039106,0.0390503433560374
"5","AT15",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2101.34,"sagerush steppe",41.258762,-107.973181,"6/22/2020 13:57","Adult","n","u","n","u",2,"u",5,13.754538588492,190.403297994349,2.53259764841907,40.6939028597537,11.3925937322256,17.5867623336783,18.2139733512359,0.0395115947299225
"6","AT20",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2081.57,"sagerush steppe",41.294667,-107.972352,"6/22/2020 8:36","Adult","n","u","n","u",3,"n",6,14.7126241901151,198.665011574775,2.64517841921646,40.1653911901291,11.7615549790164,18.8923196594175,17.8187720957096,0.0311610640408774
"7","AT23",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2048.43,"sagerush steppe",41.01478,-108.298664,"6/23/2020 11:03","Adult","n","u","n","u",4,"y",7,21.2723876409748,249.79933416874,4.29856734060261,29.0303972543812,14.3110282978286,18.9532234836441,17.8617698767464,2.85356388052444
"8","AT2",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2126.14,"sagerush steppe",41.025435,-108.416017,"6/23/2020 13:10","Adult","n","u","n","u",4,"n",8,16.3930021327546,207.864205268278,2.68402024246053,36.3658796677393,12.7882165307192,18.168913230562,17.6526650078575,0.107194305170995
"9","AT3",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2074.57,"sagerush steppe",41.299886,-107.981338,"6/22/2020 8:54","Adult","n","u","n","u",3,"y",9,14.3198035930373,192.859676068137,2.59297682211673,41.0882109280462,11.4966024387974,18.4573117378758,17.595164293028,0.0284976263613516
"10","AT4",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2070.49,"sagerush steppe",41.297748,-107.983154,"6/22/2020 9:02","Adult","n","u","n","u",3,"y",10,14.2204074218968,190.458810708098,2.58118165390562,41.3949402932245,11.3756916112446,18.2100309245701,17.5583840980644,0.0282931872799419
"11","AT5",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2068.53,"sagerush steppe",41.296947,-107.982785,"6/22/2020 9:08","Adult","n","u","n","u",3,"y",11,14.242548334498,190.42095970184,2.58395061728395,41.3937572792919,11.3714884696017,18.1921686466341,17.568311204286,0.0284276729559748
"12","AT6",1,"AT","summer","AT","wild","Adobe Town HMA, WY, feces","WY","8.6","low ",2069.22,"sagerush steppe",41.296893,-107.981713,"6/22/2020 9:14","Adult","n","u","n","u",3,"n",12,14.30982202328,191.30798682758,2.59286136819895,41.2651811207736,11.4137434731777,18.2708683643003,17.5935414153365,0.0287902147737912
