"","OBJECTID","HMA_NAME","HMA_ID","ADMIN_ST","ADM_UNIT_C","ADMIN_AGCY","HERD_TYPE","GIS_ACRES","ROD_DT","BLM_ACRES","LUP_ID","GlobalID","created_da","last_edite","Original_G","SHAPE_Leng","SHAPE_Area","ID","annforbandgrassbio","perforbandgrassbio","annforbandgrasscov","bareground","litter","perforbandgrasscov","shrub","tree"
"1",1,"Cibola-Trigo","AZ0011","AZ","AZC02000","BLM","BOTH",227.88836253,2010-01-29,229,"LUPA000210","{B905F7F8-00A4-47DF-A2AF-2615A68E2C23}",2015-12-30,2015-12-30,"{E63BA65E-BD6D-400E-BB68-0748D3F6C2B5}",0.0390211660141,8.89337369461e-05,1,73.9950900163666,2.15302782324059,4.3633387888707,31.5630114566285,4.120294599018,1.34206219312602,7.23813420621931,1.08428805237316
"2",2,"Cibola-Trigo","AZ0011","AZ","AZC02000","BLM","BOTH",2285.79518499,2010-01-29,2286,"LUPA000210","{BE78AC51-3539-42F6-B423-B46096AAEA6A}",2015-12-30,2015-12-30,"{F56B221D-454E-4A4E-9664-FC7110AD30F4}",0.175993058494,0.000892650508027,2,75.7826790772966,9.53541076487252,4.84289761230271,21.806475111291,4.03456090651558,1.17199514366653,8.23909348441926,1.302063941724
"3",3,"Big Sandy","AZ0004","AZ","AZC01000","BLM","BURRO",32140.098371,1995-03-07,28821,"LUPA000205","{0D332F05-E116-4130-A9F2-B188975837E4}",2015-12-30,2015-12-30,"{8E6C41FC-7546-44C3-AF3A-5B03DDCE722E}",0.55467830507,0.0127580309525,3,491.540214187351,38.3992739026028,15.19043554463,10.5395597892269,11.1432961179965,5.9272707614918,20.9374224680483,5.13756586659383
"4",4,"Lake Pleasant","AZ0006","AZ","AZP01000","BLM","BURRO",103472.59896,2010-04-22,60836,"LUPA000211","{663D7E76-73FA-49D2-A949-C4D6E4B6F77B}",2015-12-30,2015-12-30,"{5164D290-297C-4BD8-8F6D-1D066B70F8DE}",1.13071076207,0.0408434216743,4,620.892455353491,23.6292196775421,15.8859375500172,7.09054144896195,11.2477636731602,2.94845866841186,14.8133560730279,5.62651118785857
"5",5,"Cibola-Trigo","AZ0011","AZ","AZC02000","BLM","BOTH",162.72323806,2010-01-29,163,"LUPA000210","{BD66A522-3E91-449C-BB41-6B81A78095B3}",2015-12-30,2015-12-30,"{33F464B8-4B24-480C-B57A-355F93F49B79}",0.0377705723636,6.34570470108e-05,5,41.0687361419069,0.19179600886918,3.31374722838137,22.4390243902439,3.87361419068736,0.715077605321508,8.8470066518847,0.421286031042129
"6",6,"Cibola-Trigo","AZ0011","AZ","AZC02000","BLM","BOTH",1102.19969289,2010-01-29,1102,"LUPA000210","{F03F2D94-E8EC-43EB-A320-F4680C66E85B}",2015-12-30,2015-12-30,"{5D231231-6850-4EFE-8369-B447A418D60D}",0.086080339286,0.000430724118481,6,48.7579018157364,0.475453934095494,2.85322797579018,35.2716879623403,4.63836583725622,0.202420981842636,8.94670477471419,1.31741761936785
"7",7,"Cibola-Trigo","AZ0011","AZ","AZC02000","BLM","BOTH",631178.87559,2010-01-29,185132,"LUPA000210","{01E7F1AA-37B6-47A0-A61D-5C9CA724DB53}",2015-12-30,2015-12-30,"{9AB7A2F6-40FA-46CE-B12E-04480D665223}",3.14319637338,0.246702871826,7,156.683616037088,15.0604933732246,6.65165455219331,19.7008072946489,6.04313873144964,1.42980557867303,10.8293691809093,1.22016273067717
"8",8,"Alamo","AZ0005","AZ","AZC03000","BLM","BURRO",189239.236253,2007-05-10,189084,"LUPA000206","{96FAF01E-5528-4D22-83F5-062D00960083}",2015-12-30,2015-12-30,"{2D2D7AE3-0B2E-4AF0-A1F6-0FE0324D95E0}",2.69505234311,0.0748928600388,8,368.223686354537,9.64706059218796,15.7418857368985,14.1231746302705,9.85271535871134,3.90324473533109,15.1641882245224,2.11924164713915
"9",9,"Havasu","AZ0010","AZ","AZC03000","BLM","BURRO",268276.330821,2007-05-10,267286,"LUPA000206","{EA11402E-A5B7-41C0-824A-31FE2D69AAF2}",2015-12-30,2015-12-30,"{280731B4-A6A6-4B7B-858E-2981F8ED2F31}",5.16414483822,0.106330679638,9,344.777566102449,6.46488750139125,16.228717923506,12.9169590858903,9.26118482192301,3.53197424116102,14.3581560211047,1.24479432327739
"10",10,"Big Sandy","AZ0004","AZ","AZC01000","BLM","BURRO",28241.9580052,1995-03-07,24979,"LUPA000205","{DCAF9699-32EC-45BD-8A8E-584BACB30677}",2015-12-30,2015-12-30,"{2DF4F66A-30B6-4452-BE52-9EDE7401DC72}",0.467334480526,0.0112431284706,10,523.113928218637,43.4542537462795,19.2495754969752,9.36839760599663,11.5251312246993,6.04669856088632,19.2981270216351,3.90026277221458
