study.area,area_season,cover_group,name_study_area,season,body_condition_obs
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,4
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,4
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,4
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,5
RR,RR,low,Red Rock,Summer,6
RR,RR,low,Red Rock,Summer,3
RR,RR,low,Red Rock,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,6
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,6
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,6
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
AT,AT,low,Adobe Town,Summer,5
FR,FR,low,Frisco,Summer,6
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,4
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,4
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,4
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,4
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,5
FR,FR,low,Frisco,Summer,6
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,6
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,3
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,4
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,4
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
PN,PN,low,Pine Nut Mountains,Summer,5
